neg,neu,pos,compound,eid,pii
0.01,0.906,0.083,0.9992,2-s2.0-0018599905,47248479900022
0.031,0.924,0.044,0.9987,2-s2.0-79952359416,S0047248410002381
0.024,0.956,0.02,-0.7611,2-s2.0-0036008149,S0047248401905251
0.01,0.896,0.093,0.9907,2-s2.0-0027437051,S0047248483710286
0.015,0.934,0.051,0.9996,2-s2.0-85047196181,S0047248417304876
0.028,0.89,0.083,1.0,2-s2.0-34548664750,47248489900225
0.015,0.829,0.156,0.9995,2-s2.0-44049118691,004724849290056F
0.05,0.878,0.072,0.9976,2-s2.0-70449713328,S0047248409001328
0.033,0.902,0.064,0.9997,2-s2.0-55949095812,S0047248408001383
0.021,0.913,0.066,0.9998,2-s2.0-0024531051,47248489900675
0.016,0.916,0.067,0.9999,2-s2.0-44749089713,S0047248408000341
0.054,0.887,0.059,0.3054,2-s2.0-49649135240,47248472900759
0.019,0.93,0.051,0.9995,2-s2.0-85028665455,S0047248417303433
0.052,0.871,0.077,0.9999,2-s2.0-10244219902,S0047248404001277
0.019,0.94,0.041,0.9985,2-s2.0-0017253494,47248476900233
0.014,0.956,0.03,0.9477,2-s2.0-0033822920,S0047248400904238
0.044,0.937,0.02,-0.9766,2-s2.0-0035983991,S0047248402905622
0.041,0.878,0.081,0.9995,2-s2.0-0016714309,47248475900093
0.03,0.857,0.112,0.9996,2-s2.0-0041341420,S0047248481800565
0.01,0.937,0.053,0.9965,2-s2.0-0017707885,S0047248477800146
0.043,0.892,0.066,0.9987,2-s2.0-84860325653,S0047248412000334
0.0,0.927,0.073,0.9382,2-s2.0-0000150549,S0047248496900111
0.029,0.903,0.068,0.9998,2-s2.0-84907285102,S0047248414001614
0.017,0.916,0.067,0.9992,2-s2.0-0026282097,47248491901099
0.02,0.84,0.139,1.0,2-s2.0-0001823730,47248492900428
0.022,0.857,0.12,1.0,2-s2.0-29244486491,S0047248405001399
0.021,0.896,0.082,1.0,2-s2.0-33747081963,S0047248406000728
0.038,0.866,0.096,0.9968,2-s2.0-0035983960,S004724840190541X
0.023,0.895,0.082,0.9999,2-s2.0-84944174753,S0047248415000780
0.025,0.913,0.062,0.9999,2-s2.0-84919843538,S0047248414002346
0.015,0.922,0.063,0.9932,2-s2.0-0017196583,0047-2484(76)90037-3
0.027,0.903,0.07,0.9969,2-s2.0-0032030317,S0047248497901986
0.017,0.933,0.051,0.9995,2-s2.0-85063100319,S0047248418302434
0.033,0.903,0.064,0.9989,2-s2.0-85083800074,S0047248420300531
0.056,0.832,0.112,0.9954,2-s2.0-0020899275,S0047-2484(83)80134-1
0.017,0.87,0.113,0.9999,2-s2.0-41349094469,S0047248407001716
0.031,0.911,0.058,0.9988,2-s2.0-0000195598,004724849290047D
0.028,0.898,0.074,0.9998,2-s2.0-84923380911,S0047248414003042
0.04,0.886,0.074,0.9998,2-s2.0-0000590556,47248488900723
0.01,0.942,0.048,0.9578,2-s2.0-0033159121,S0047248499903081
0.013,0.919,0.068,0.9997,2-s2.0-74449083121,S0047248409002103
0.068,0.845,0.087,0.9973,2-s2.0-0000478562,S0047248486800094
0.017,0.907,0.076,0.9999,2-s2.0-85033567744,S0047248417303937
0.019,0.899,0.082,0.9999,2-s2.0-85104981490,S0047248421000609
0.031,0.884,0.085,0.9967,2-s2.0-0032469547,S0047248498902512
0.027,0.882,0.091,0.9998,2-s2.0-84991497706,S0047248416300719
0.0,0.951,0.049,0.9545,2-s2.0-0033228554,S0047248499903202
0.059,0.863,0.078,0.9882,2-s2.0-43249088470,S0047248408000316
0.018,0.935,0.046,0.991,2-s2.0-0031182375,S004724849790141X
0.014,0.924,0.062,0.9996,2-s2.0-85075189819,S0047248418304299
0.029,0.905,0.066,0.9998,2-s2.0-48349146727,S004724840800050X
0.028,0.845,0.127,0.9998,2-s2.0-84905740904,S0047248414000402
0.007,0.929,0.064,0.9766,2-s2.0-0027873177,S0047248483710547
0.04,0.855,0.105,0.9996,2-s2.0-58149406553,S0047248481800498
0.036,0.9,0.064,0.994,2-s2.0-50849092516,S0047248408001012
0.011,0.928,0.061,0.9853,2-s2.0-28144464201,47248490900224
0.0,0.915,0.085,0.9839,2-s2.0-0001207979,S0047248485710676
0.015,0.923,0.062,0.9998,2-s2.0-84927692223,S0047248414001213
0.094,0.843,0.063,-0.9997,2-s2.0-84861069950,S0047248411001382
0.024,0.842,0.134,1.0,2-s2.0-70349989952,S0047248409001304
0.032,0.94,0.028,-0.7845,2-s2.0-0033513547,S0047248498902640
0.012,0.946,0.042,0.9973,2-s2.0-0018755970,47248479900848
0.029,0.885,0.086,0.9997,2-s2.0-0026068483,47248491900562
0.022,0.88,0.098,0.9999,2-s2.0-84891651477,S0047248413002418
0.075,0.897,0.028,-0.9927,2-s2.0-0034049218,S0047248499903500
0.016,0.922,0.062,0.9999,2-s2.0-84957693169,S0047248415002729
0.029,0.891,0.08,0.9999,2-s2.0-84872015712,S0047248412001765
0.033,0.875,0.092,0.9999,2-s2.0-85064764306,S0047248418302859
0.007,0.959,0.034,0.9864,2-s2.0-0033226752,S0047248499903445
0.021,0.898,0.081,0.9996,2-s2.0-85056737095,S0047248418301799
0.0,0.949,0.051,0.8126,2-s2.0-17744418813,S0047248403000046
0.023,0.913,0.064,0.9996,2-s2.0-84881663523,S0047248413001371
0.015,0.897,0.087,0.9999,2-s2.0-84957725211,S0047248415001943
0.025,0.89,0.086,0.9999,2-s2.0-85049502894,S0047248418300472
0.027,0.888,0.084,0.9999,2-s2.0-84872037646,S004724841200187X
0.029,0.895,0.076,0.9997,2-s2.0-0022859288,S0047-2484(86)80052-5
0.008,0.883,0.109,0.9944,2-s2.0-0029730723,S0047248496900214
0.032,0.88,0.088,0.9999,2-s2.0-84905721610,S0047248414001511
0.04,0.895,0.065,0.9995,2-s2.0-0025247483,47248490900176
0.025,0.867,0.108,0.999,2-s2.0-33746265440,S0047248406000704
0.062,0.859,0.079,0.9854,2-s2.0-0022002324,S0047248485800920
0.055,0.883,0.062,0.9566,2-s2.0-0004575717,S0047248482800213
0.017,0.927,0.055,0.9933,2-s2.0-0025682570,004724849090048G
0.018,0.91,0.072,0.9999,2-s2.0-85032302136,S0047248417303809
0.024,0.913,0.063,0.9998,2-s2.0-80051469655,S0047248411000911
0.0,0.947,0.053,0.8807,2-s2.0-0031612901,S0047248497902001
0.009,0.967,0.024,0.9758,2-s2.0-0033812588,S0047248400904214
0.029,0.846,0.125,0.9904,2-s2.0-0028579127,S0047248484710219
0.049,0.871,0.08,0.9936,2-s2.0-0018143368,S0047248478800402
0.028,0.894,0.078,0.9998,2-s2.0-85098124575,S0047248420301834
0.033,0.889,0.078,0.9996,2-s2.0-34248563864,S0047248407000310
0.045,0.898,0.057,0.9325,2-s2.0-0005740738,S0047248485800865
0.024,0.909,0.066,0.9989,2-s2.0-79953066917,S004724841100008X
0.019,0.899,0.081,0.9999,2-s2.0-84930181611,S0047248415000743
0.035,0.896,0.069,0.989,2-s2.0-2642671483,S0047248486800112
0.022,0.895,0.083,0.9999,2-s2.0-67249086455,S0047248409000542
0.0,0.973,0.027,0.9716,2-s2.0-0034751256,S0047248401904968
0.016,0.933,0.051,0.9991,2-s2.0-84861855609,S004724841200022X
0.011,0.91,0.078,0.9997,2-s2.0-84863524762,S004724841200067X
0.024,0.86,0.117,0.9974,2-s2.0-33745557568,S0047248481800772
0.029,0.89,0.081,0.9998,2-s2.0-0019425697,S0047248481800267
0.019,0.931,0.05,0.9153,2-s2.0-0028886840,S0047248485710123
0.021,0.901,0.078,0.9997,2-s2.0-0001287761,47248487900637
0.022,0.868,0.11,0.9996,2-s2.0-58549100463,S0047248408001747
0.025,0.888,0.087,0.9821,2-s2.0-0029472808,S0047248485710573
0.025,0.904,0.071,0.9998,2-s2.0-0037226157,S0047248402002087
0.035,0.909,0.057,0.9983,2-s2.0-0039986584,S0047248486800057
0.027,0.917,0.056,0.9992,2-s2.0-84994860462,S0047248416301348
0.017,0.887,0.096,1.0,2-s2.0-84891659618,S0047248413002273
0.029,0.903,0.068,0.9982,2-s2.0-0242662657,S0047248403001179
0.018,0.925,0.057,0.9999,2-s2.0-33646756216,S0047248405002034
0.013,0.916,0.071,0.9975,2-s2.0-0018598843,47248479901131
0.036,0.919,0.045,0.9604,2-s2.0-0015784851,47248473900766
0.026,0.91,0.064,0.9932,2-s2.0-0020285638,S0047248482800614
0.014,0.924,0.062,0.9996,2-s2.0-33749064191,S0047248406000753
0.025,0.881,0.094,0.9986,2-s2.0-0021851536,S0047-2484(85)80085-3
0.017,0.926,0.058,0.9999,2-s2.0-85089513847,S0047248420301160
0.021,0.941,0.039,0.9851,2-s2.0-0018087160,S0047248478800906
0.037,0.893,0.071,0.9975,2-s2.0-33846510904,S0047248406001904
0.022,0.937,0.041,0.8316,2-s2.0-0027886440,S0047248483710584
0.064,0.868,0.068,0.8497,2-s2.0-1842278159,47248480900391
0.025,0.879,0.096,0.9999,2-s2.0-74849128507,S0047248409002206
0.029,0.9,0.071,0.998,2-s2.0-0345213260,47248472901133
0.017,0.912,0.071,0.9992,2-s2.0-0015816010,0047-2484(73)90128-0
0.011,0.927,0.062,0.9943,2-s2.0-0032466805,S0047248498902494
0.014,0.893,0.094,0.9999,2-s2.0-85031319202,S0047248417302166
0.027,0.906,0.066,0.9998,2-s2.0-84865572635,S0047248412000565
0.011,0.941,0.048,0.9834,2-s2.0-0032125282,S0047248498902251
0.02,0.902,0.078,0.9999,2-s2.0-69549088138,S0047248409000554
0.017,0.891,0.092,0.999,2-s2.0-0018073763,S004724847880089X
0.016,0.935,0.049,0.9899,2-s2.0-0033179958,S0047248499903111
0.037,0.902,0.062,0.9989,2-s2.0-7544249292,S004724840400123X
0.031,0.887,0.082,0.9998,2-s2.0-84931568034,S0047248415000755
0.032,0.86,0.108,0.9973,2-s2.0-0016790908,47248475901529
0.037,0.893,0.07,0.9999,2-s2.0-85047225938,S0047248418301222
0.132,0.801,0.067,-0.9998,2-s2.0-0020082733,S0047248482800481
0.04,0.884,0.076,0.9993,2-s2.0-41349085187,S0047248407001686
0.034,0.881,0.085,0.9998,2-s2.0-84875216474,S0047248413000171
0.022,0.918,0.06,0.999,2-s2.0-0346905246,S0047248403001246
0.022,0.94,0.037,0.9628,2-s2.0-0035112708,S0047248400904469
0.0,0.943,0.057,0.8807,2-s2.0-0028810580,S0047248485710135
0.038,0.914,0.048,0.9782,2-s2.0-85048449784,S0047248418300599
0.031,0.908,0.061,0.9925,2-s2.0-0016729211,0047-2484(75)90160-8
0.038,0.842,0.121,0.9992,2-s2.0-0020285267,S0047248482800602
0.01,0.933,0.057,0.9994,2-s2.0-38849136041,S0047248407002229
0.033,0.892,0.075,0.9998,2-s2.0-84885385972,S0047248413001449
0.028,0.9,0.071,0.9996,2-s2.0-84902319702,S0047248414000438
0.033,0.892,0.075,0.9999,2-s2.0-44649161283,S0047248407002679
0.014,0.927,0.059,0.9989,2-s2.0-33644854062,S0047248405002022
0.023,0.878,0.099,1.0,2-s2.0-85015076047,S0047248417300337
0.03,0.889,0.081,0.9996,2-s2.0-0001035652,S0047248483801407
0.024,0.901,0.074,0.9999,2-s2.0-84981168984,S0047248416300689
0.019,0.873,0.108,1.0,2-s2.0-0242581605,S0047248403001180
0.018,0.888,0.094,0.9953,2-s2.0-0032194255,S0047248498902482
0.057,0.859,0.084,0.9991,2-s2.0-80052266204,S0047248411001357
0.021,0.929,0.05,0.9971,2-s2.0-58149404267,S0047248478800013
0.029,0.888,0.083,0.9896,2-s2.0-0002096779,S0047248496900469
0.023,0.945,0.032,0.9371,2-s2.0-0343134570,S0047248499903238
0.035,0.87,0.095,0.9995,2-s2.0-42649085097,S0047248408000286
0.014,0.926,0.06,0.9982,2-s2.0-79955463833,S0047248411000546
0.064,0.875,0.061,-0.995,2-s2.0-64549101570,S0047248409000153
0.0,0.921,0.079,0.9792,2-s2.0-0027435808,S0047248483710316
0.047,0.88,0.073,0.9993,2-s2.0-77952742044,S0047248410000369
0.023,0.94,0.037,0.9735,2-s2.0-0016746079,47248475901591
0.012,0.854,0.134,1.0,2-s2.0-28044442713,S0047248405001065
0.021,0.922,0.057,0.9865,2-s2.0-0031251916,S0047248497901457
0.007,0.937,0.056,0.9993,2-s2.0-0035983955,S0047248402905531
0.012,0.93,0.058,0.9997,2-s2.0-85101530386,S0047248420302074
0.043,0.892,0.065,0.9991,2-s2.0-49349133148,47248474900281
0.053,0.832,0.115,0.9967,2-s2.0-0020445525,S0047248482800985
0.0,0.878,0.122,0.9876,2-s2.0-0029730724,S0047248496900202
0.0,0.949,0.051,0.9169,2-s2.0-0032159914,S004724849890241X
0.0,0.929,0.071,0.9814,2-s2.0-0030437037,S0047248496900652
0.022,0.901,0.077,0.9998,2-s2.0-0022978609,S0047248486800446
0.047,0.848,0.105,0.9988,2-s2.0-30544437474,S0047248405001570
0.033,0.882,0.084,0.9999,2-s2.0-84945305318,S0047248415001955
0.002,0.931,0.067,0.9972,2-s2.0-0031462999,S0047248497901512
0.021,0.901,0.078,0.9766,2-s2.0-0027803750,S004724848371050X
0.0,0.916,0.084,0.9846,2-s2.0-0029750649,S0047248496900081
0.03,0.895,0.076,0.9999,2-s2.0-85046706459,S0047248417304773
0.026,0.91,0.064,0.9998,2-s2.0-84856549497,S0047248411002193
0.014,0.961,0.025,0.8402,2-s2.0-0035544219,S0047248401905007
0.013,0.92,0.067,0.9993,2-s2.0-85062186458,S0047248418303531
0.02,0.837,0.143,1.0,2-s2.0-42649121943,S0047248407002291
0.029,0.881,0.09,0.9999,2-s2.0-38949141710,S0047248407001844
0.013,0.918,0.069,1.0,2-s2.0-85033501023,S0047248417301434
0.0,0.959,0.041,0.9716,2-s2.0-0036005685,S0047248401905512
0.056,0.891,0.053,-0.4988,2-s2.0-0018219010,S0047248478800414
0.016,0.916,0.068,0.9987,2-s2.0-0033813776,S0047248400904202
0.045,0.896,0.059,0.9895,2-s2.0-0021154845,S0047248484800421
0.045,0.9,0.055,0.8625,2-s2.0-0016159262,47248474902048
0.019,0.903,0.077,0.9963,2-s2.0-0033743237,S0047248400904275
0.032,0.917,0.052,0.9994,2-s2.0-0001169676,47248489900511
0.09,0.802,0.108,0.9978,2-s2.0-58149406932,S0047248478800463
0.039,0.867,0.094,0.9999,2-s2.0-34247565943,S0047248407000371
0.051,0.851,0.097,0.998,2-s2.0-84887613955,S0047248413001486
0.007,0.971,0.021,0.9904,2-s2.0-0036008040,S0047248401905135
0.037,0.877,0.086,0.9991,2-s2.0-0022260469,S0047248485800804
0.042,0.879,0.078,0.9995,2-s2.0-85030686271,S0047248417303184
0.013,0.862,0.126,0.9999,2-s2.0-33748932325,S0047248406000765
0.014,0.915,0.07,0.9986,2-s2.0-0018860674,47248480900718
0.021,0.9,0.079,0.9999,2-s2.0-85068820879,S0047248418304329
0.019,0.915,0.066,0.9998,2-s2.0-70450242716,S0047248409001559
0.02,0.916,0.064,0.9999,2-s2.0-77955845139,S004724841000103X
0.025,0.929,0.046,0.9855,2-s2.0-0019445264,S0047248481800528
0.023,0.923,0.054,0.9963,2-s2.0-70449716991,S0047248409001109
0.014,0.903,0.083,0.9998,2-s2.0-84957725604,S0047248415001888
0.023,0.923,0.054,0.9996,2-s2.0-84883460368,S0047248413001310
0.032,0.86,0.108,0.9996,2-s2.0-0015845225,47248473900183
0.039,0.861,0.1,0.9999,2-s2.0-0017757660,S004724847780136X
0.042,0.865,0.092,0.9984,2-s2.0-49549160891,0047-2484(73)90127-9
0.017,0.905,0.078,0.9999,2-s2.0-85046125364,S0047248418300940
0.023,0.905,0.072,0.9999,2-s2.0-84931572506,S004724841500086X
0.043,0.89,0.067,0.9998,2-s2.0-0000362066,47248487900601
0.042,0.836,0.122,0.9994,2-s2.0-0019167150,47248480900962
0.0,0.916,0.084,0.9559,2-s2.0-0030480678,S0047248496900275
0.005,0.959,0.036,0.9925,2-s2.0-0033929789,S0047248400904019
0.005,0.959,0.036,0.9949,2-s2.0-0016201544,47248474900219
0.041,0.896,0.063,0.9992,2-s2.0-84887615014,S0047248413002029
0.038,0.869,0.093,0.9998,2-s2.0-84902273545,S0047248413002479
0.022,0.876,0.102,1.0,2-s2.0-0141681867,S0047248403000861
0.054,0.917,0.029,-0.9964,2-s2.0-0034052350,S0047248499903561
0.0,0.943,0.057,0.8807,2-s2.0-0033126789,S004724849990297X
0.035,0.899,0.066,0.9971,2-s2.0-33746337327,S0047248406000509
0.03,0.917,0.053,0.9985,2-s2.0-77958186414,S0047248410000060
0.014,0.914,0.072,0.9999,2-s2.0-85058223810,S0047248418303907
0.042,0.891,0.068,0.9962,2-s2.0-0016685709,47248475900123
0.034,0.832,0.135,0.9996,2-s2.0-52849092511,S0047248481800590
0.009,0.918,0.073,0.9969,2-s2.0-0032040156,S0047248497902037
0.049,0.795,0.156,0.9995,2-s2.0-58149408878,S0047248481800085
0.019,0.921,0.061,0.9995,2-s2.0-3242888491,S004724840400079X
0.021,0.909,0.07,0.9987,2-s2.0-0019974470,S0047248482800225
0.025,0.897,0.078,0.9993,2-s2.0-0024265887,47248488900851
0.043,0.919,0.038,-0.9938,2-s2.0-0026282096,47248491901129
0.023,0.889,0.087,0.9999,2-s2.0-85072272035,S0047248419300545
0.078,0.829,0.092,0.9538,2-s2.0-0019406429,S0047248481800656
0.016,0.922,0.062,0.9761,2-s2.0-0029475044,S0047248485710512
0.033,0.895,0.071,0.9994,2-s2.0-0017064315,47248476900415
0.051,0.898,0.051,0.1065,2-s2.0-43249083466,S0047248407002527
0.052,0.86,0.088,0.9981,2-s2.0-0015795896,47248473900584
0.028,0.916,0.057,0.99,2-s2.0-0036802910,S0047248402905907
0.054,0.887,0.059,0.9498,2-s2.0-67349212288,S004724840900027X
0.039,0.871,0.09,0.9995,2-s2.0-0019992104,S0047248482800419
0.055,0.877,0.068,0.9979,2-s2.0-79956117639,S0047248411000248
0.016,0.911,0.072,0.9998,2-s2.0-0002465905,S0047248486800173
0.037,0.948,0.015,-0.9939,2-s2.0-0034106879,S0047248499903536
0.019,0.889,0.092,0.9994,2-s2.0-84994093680,S0047248416300884
0.018,0.893,0.089,0.9958,2-s2.0-0032124596,S0047248498902226
0.035,0.88,0.085,0.999,2-s2.0-0141458790,S0047248403000836
0.024,0.894,0.082,1.0,2-s2.0-70349994205,S0047248409001298
0.047,0.882,0.071,0.9999,2-s2.0-0002400668,S0047-2484(86)80068-9
0.013,0.897,0.09,0.9997,2-s2.0-84875223873,S0047248413000043
0.04,0.861,0.098,0.988,2-s2.0-0029537901,S0047248485710457
0.011,0.887,0.102,0.991,2-s2.0-0033081876,S0047248498902676
0.014,0.921,0.065,0.9993,2-s2.0-33644849493,S0047248405001946
0.022,0.911,0.066,0.9918,2-s2.0-0021140899,S0047248484800378
0.017,0.874,0.109,0.9896,2-s2.0-0028585753,S0047248484710669
0.021,0.889,0.09,0.9998,2-s2.0-84960914626,S0047248415002973
0.017,0.897,0.086,0.9991,2-s2.0-0016764605,47248475900135
0.04,0.857,0.103,0.9744,2-s2.0-0030446683,S0047248496900408
0.01,0.939,0.05,0.9921,2-s2.0-0035074332,S0047248400904664
0.032,0.891,0.077,0.9998,2-s2.0-84961121223,S0047248415002420
0.017,0.909,0.074,0.9962,2-s2.0-0018568794,47248479900757
0.034,0.896,0.07,0.9996,2-s2.0-44649159656,S0047248407002618
0.009,0.947,0.044,0.9932,2-s2.0-27744487089,S0047248481800139
0.02,0.908,0.072,0.9991,2-s2.0-84996073354,S0047248483801523
0.028,0.873,0.099,0.9999,2-s2.0-85028683607,S004724841730355X
0.031,0.877,0.092,0.9999,2-s2.0-84864545820,S0047248411002326
0.021,0.903,0.076,1.0,2-s2.0-12144281635,S0047248404001447
0.038,0.839,0.123,0.9985,2-s2.0-0017616949,S0047248477801188
0.07,0.893,0.036,-0.9947,2-s2.0-0031277501,S0047248497901524
0.049,0.889,0.062,0.9938,2-s2.0-0017066710,47248476900403
0.036,0.908,0.056,0.9996,2-s2.0-85087692570,S0047248420300993
0.049,0.838,0.114,0.9999,2-s2.0-0011148794,47248480900020
0.031,0.878,0.091,0.9999,2-s2.0-85042438828,S004724841730310X
0.067,0.828,0.105,0.9992,2-s2.0-0017135803,004724847690035X
0.04,0.896,0.064,0.9992,2-s2.0-0043008273,47248480900470
0.0,0.962,0.038,0.9803,2-s2.0-0035112405,S0047248400904408
0.022,0.857,0.121,0.9962,2-s2.0-0030436107,S0047248496900664
0.061,0.846,0.093,0.9926,2-s2.0-84875228464,S0047248413000110
0.021,0.935,0.044,0.9995,2-s2.0-85073211326,S004724841930020X
0.015,0.934,0.051,0.9998,2-s2.0-85073050732,S004724841930065X
0.031,0.866,0.103,0.9999,2-s2.0-21244453896,S0047248405000357
0.021,0.926,0.053,0.9997,2-s2.0-84875227364,S0047248413000055
0.064,0.854,0.082,0.9946,2-s2.0-0022003408,S0047-2484(85)80091-9
0.026,0.915,0.059,0.9997,2-s2.0-34249715683,S0047248407000449
0.027,0.911,0.062,0.9999,2-s2.0-85026745303,S0047248417302804
0.011,0.864,0.125,1.0,2-s2.0-28044434180,S0047248405001053
0.047,0.882,0.071,0.9979,2-s2.0-84885372540,S0047248413001644
0.071,0.854,0.076,0.982,2-s2.0-85034567240,S0047248417304529
0.026,0.877,0.097,0.9999,2-s2.0-67349229778,S0047248409000165
0.075,0.851,0.074,-0.9565,2-s2.0-85042642320,S0047248417304657
0.021,0.906,0.074,0.9999,2-s2.0-58549120745,S0047248408002327
0.037,0.835,0.128,0.9998,2-s2.0-84865540609,S004724841200098X
0.037,0.912,0.052,0.9997,2-s2.0-85075264809,S0047248418301428
0.034,0.911,0.054,0.9992,2-s2.0-85064969559,S0047248418303415
0.022,0.86,0.117,1.0,2-s2.0-0020514312,S0047248483800220
0.059,0.866,0.075,0.9947,2-s2.0-0018251459,S0047248478800475
0.034,0.914,0.052,0.9935,2-s2.0-77958174213,S0047248410001260
0.045,0.903,0.052,0.6613,2-s2.0-0018103628,S0047248478800025
0.0,0.945,0.055,0.9371,2-s2.0-0034293334,S0047248400904263
0.023,0.899,0.079,0.9983,2-s2.0-0026440376,004724849290061D
0.039,0.913,0.049,0.9957,2-s2.0-85013177937,S0047248417300301
0.035,0.879,0.085,0.9992,2-s2.0-19944391997,S004724840500028X
0.026,0.908,0.066,0.9981,2-s2.0-85015278532,S0047248417300751
0.008,0.847,0.144,0.9983,2-s2.0-0000465310,S0047248484710281
0.021,0.892,0.087,0.997,2-s2.0-41349085594,S004724840700173X
0.033,0.792,0.174,0.9993,2-s2.0-84920383866,S004724841400236X
0.034,0.887,0.079,0.9999,2-s2.0-84961290848,S0047248415001037
0.046,0.82,0.133,0.9999,2-s2.0-0017166873,47248476900907
0.007,0.841,0.152,0.9957,2-s2.0-0030455017,S0047248496900263
0.027,0.9,0.073,0.9998,2-s2.0-84902288927,S0047248413002480
0.066,0.768,0.166,0.9989,2-s2.0-0000071425,47248480900974
0.027,0.893,0.081,1.0,2-s2.0-85026449181,S0047248417301793
0.039,0.887,0.074,0.9995,2-s2.0-0015908737,47248473900195
0.026,0.893,0.082,0.9979,2-s2.0-0018599078,004724847990068X
0.039,0.899,0.062,0.9986,2-s2.0-84928702504,S0047248415000299
0.034,0.88,0.086,0.9999,2-s2.0-77953544624,S0047248410000308
0.0,0.937,0.063,0.9716,2-s2.0-0027487694,S0047248483710377
0.048,0.871,0.081,0.9995,2-s2.0-44649184979,S004724840800033X
0.055,0.832,0.113,0.9999,2-s2.0-85027435791,S0047248417302853
0.016,0.909,0.075,0.9999,2-s2.0-84861914712,S0047248412000553
0.029,0.903,0.068,0.999,2-s2.0-0016186610,47248474901808
0.015,0.893,0.092,0.9999,2-s2.0-84873113219,S0047248412001856
0.029,0.902,0.069,0.9999,2-s2.0-85049756808,S0047248418300757
0.014,0.868,0.118,0.9958,2-s2.0-0030449383,S0047248496900561
0.036,0.909,0.056,0.9926,2-s2.0-0242410908,S0047248403001088
0.033,0.888,0.079,0.9993,2-s2.0-0007537188,S0047248481800115
0.0,0.906,0.094,0.9825,2-s2.0-0028853016,S0047248485710251
0.009,0.916,0.076,0.9878,2-s2.0-0031111903,S0047248496900998
0.019,0.898,0.083,0.997,2-s2.0-0008649283,47248472900796
0.023,0.9,0.076,0.9999,2-s2.0-0037363268,S004724840300006X
0.035,0.887,0.078,0.9998,2-s2.0-56349169388,S0047248408001966
0.014,0.926,0.06,0.9998,2-s2.0-84902241460,S0047248414000025
0.042,0.883,0.076,0.9998,2-s2.0-0024920590,47248489900985
0.067,0.885,0.048,-0.9983,2-s2.0-0018755781,47248479900794
0.037,0.898,0.065,0.9997,2-s2.0-84881615174,S004724841300095X
0.028,0.909,0.064,0.9997,2-s2.0-85052913226,S0047248418301453
0.018,0.896,0.086,0.9977,2-s2.0-49149149300,004724848090086X
0.037,0.904,0.059,0.9684,2-s2.0-58149369265,S0047-2484(83)80129-8
0.078,0.861,0.061,-0.9837,2-s2.0-0032075880,S0047248498902135
0.028,0.896,0.076,0.9999,2-s2.0-84989220540,S0047248416300914
0.004,0.931,0.065,0.9978,2-s2.0-49649145316,47248472900450
0.035,0.895,0.07,0.9993,2-s2.0-84885373123,S0047248413001668
0.031,0.909,0.06,0.9998,2-s2.0-85028055960,S0047248417302828
0.033,0.855,0.112,1.0,2-s2.0-85083328380,S004724842030035X
0.031,0.898,0.07,0.9996,2-s2.0-84875229488,S0047248413000079
0.036,0.893,0.072,0.9981,2-s2.0-0017225195,47248476900993
0.032,0.914,0.054,0.9986,2-s2.0-84865554956,S0047248412000528
0.047,0.885,0.068,0.9698,2-s2.0-0021139911,S0047248484800342
0.068,0.815,0.117,0.9988,2-s2.0-0000499822,S0047248483801626
0.013,0.935,0.052,0.9856,2-s2.0-0018163942,S0047248478800232
0.03,0.899,0.07,0.9999,2-s2.0-77955843307,S0047248410001077
0.017,0.899,0.084,0.9999,2-s2.0-33748903218,S0047248406000972
0.015,0.926,0.059,0.93,2-s2.0-0027382749,S0047248483710249
0.022,0.935,0.043,0.9948,2-s2.0-0032885484,S0047248499903019
0.025,0.909,0.065,0.9998,2-s2.0-85046167346,S0047248417304694
0.047,0.886,0.067,0.9996,2-s2.0-67349140885,S0047248409000372
0.044,0.88,0.076,0.9987,2-s2.0-0000439368,47248480900688
0.006,0.974,0.02,0.872,2-s2.0-0031297466,S0047248497901676
0.02,0.899,0.081,0.9883,2-s2.0-0030479150,S0047248496900536
0.025,0.923,0.052,0.9994,2-s2.0-84860337087,S0047248412000206
0.036,0.884,0.079,0.9991,2-s2.0-0037917595,S0047248484800196
0.011,0.89,0.099,0.9997,2-s2.0-0024525960,47248489900481
0.0,0.919,0.081,0.9779,2-s2.0-0028870901,S004724848571041X
0.031,0.832,0.136,0.9997,2-s2.0-0018649887,47248479900393
0.031,0.89,0.079,0.9999,2-s2.0-51349167152,S0047248408000766
0.041,0.893,0.066,0.9994,2-s2.0-85064755209,S0047248418303439
0.006,0.955,0.039,0.9968,2-s2.0-0035074298,S0047248400904536
0.007,0.933,0.06,0.9963,2-s2.0-0032052506,S0047248497901949
0.056,0.854,0.09,0.9998,2-s2.0-84893729268,S0047248413002443
0.027,0.901,0.072,0.9996,2-s2.0-24644456015,S0047248405001028
0.011,0.934,0.056,0.9927,2-s2.0-0036008038,S0047248401905226
0.016,0.892,0.092,0.9999,2-s2.0-76949099848,S004724840900222X
0.017,0.936,0.047,0.9998,2-s2.0-85097231757,S0047248420301615
0.041,0.85,0.109,0.9992,2-s2.0-77954216569,S0047248410000631
0.03,0.915,0.055,0.9999,2-s2.0-34447104812,S0047248407000577
0.033,0.866,0.101,0.9992,2-s2.0-0016805370,47248475901499
0.023,0.887,0.09,0.9992,2-s2.0-84944155140,S0047248415001918
