neg,neu,pos,compound,eid,pii
0.008,0.921,0.072,0.9906,2-s2.0-49249144395,004724847990054X
0.036,0.909,0.055,0.9975,2-s2.0-85029515570,S0047248416302391
0.029,0.891,0.08,0.9999,2-s2.0-84863531413,S0047248412000693
0.005,0.915,0.08,0.998,2-s2.0-0035074837,S0047248401904671
0.023,0.913,0.064,0.9995,2-s2.0-8844232807,S0047248404001046
0.061,0.856,0.083,0.9733,2-s2.0-0018868615,47248480900421
0.023,0.915,0.062,0.9999,2-s2.0-85060205967,S0047248418303385
0.025,0.826,0.149,0.9995,2-s2.0-0017590722,S0047248477801073
0.025,0.923,0.052,0.9995,2-s2.0-84919846640,S0047248414001833
0.028,0.909,0.063,0.9998,2-s2.0-78650898212,S0047248410001909
0.035,0.906,0.059,0.9995,2-s2.0-84906942188,S0047248414001560
0.058,0.818,0.124,0.9997,2-s2.0-0021259659,S0047248484800780
0.016,0.925,0.059,0.9972,2-s2.0-0034034471,S0047248499903822
0.028,0.912,0.06,0.9989,2-s2.0-85099157200,S0047248420302013
0.027,0.909,0.063,0.9995,2-s2.0-1842664366,S0047248403001763
0.024,0.918,0.059,0.9987,2-s2.0-33749992110,S0047248406001308
0.038,0.891,0.071,0.9998,2-s2.0-33947434098,S0047248406001758
0.026,0.893,0.081,0.9998,2-s2.0-84898056067,S0047248414000189
0.074,0.871,0.054,-0.9994,2-s2.0-85063902604,S0047248419301411
0.043,0.909,0.048,0.9758,2-s2.0-85073943587,S0047248418304342
0.02,0.886,0.094,1.0,2-s2.0-85079389765,S0047248419303586
0.024,0.869,0.106,1.0,2-s2.0-0000354231,S0047248405800041
0.018,0.924,0.058,0.9995,2-s2.0-51549115843,S004724840800136X
0.038,0.879,0.083,0.9999,2-s2.0-0002953149,004724849290066I
0.031,0.909,0.06,0.9998,2-s2.0-85010679671,S0047248416302305
0.049,0.9,0.05,-0.4019,2-s2.0-0031131989,S004724849690113X
0.014,0.934,0.052,0.9994,2-s2.0-34548230566,S0047248407000930
0.02,0.856,0.125,0.9992,2-s2.0-0015852996,47248473901346
0.029,0.889,0.081,0.9989,2-s2.0-0022253227,S0047248485800245
0.036,0.918,0.046,0.9993,2-s2.0-84887606972,S0047248413002042
0.03,0.919,0.051,0.9976,2-s2.0-85087661196,S0047248420300956
0.078,0.846,0.076,-0.4019,2-s2.0-0000205196,S0047248482800560
0.017,0.927,0.056,0.9997,2-s2.0-84885376265,S0047248413001681
0.015,0.885,0.1,1.0,2-s2.0-34248547166,S0047248407000176
0.01,0.894,0.096,0.9998,2-s2.0-0022252976,S0047248485800300
0.033,0.912,0.055,0.9997,2-s2.0-33644858867,S0047248405001995
0.022,0.918,0.06,0.998,2-s2.0-51349132583,S0047248408000808
0.063,0.878,0.059,-0.8837,2-s2.0-38249038390,0047-2484(87)90006-6
0.0,0.945,0.055,0.8807,2-s2.0-13544275867,S0047248496900160
0.013,0.902,0.084,0.9998,2-s2.0-84870064222,S0047248412001807
0.03,0.888,0.082,0.9999,2-s2.0-1342332661,S0047248403001489
0.071,0.895,0.034,-1.0,2-s2.0-33644536724,S0047248405001612
0.011,0.898,0.092,0.9999,2-s2.0-0027040528,S0047248405800016
0.02,0.905,0.075,0.9999,2-s2.0-84896737931,S0047248414000074
0.019,0.901,0.08,1.0,2-s2.0-0037930529,S0047248403000277
0.018,0.917,0.065,0.9998,2-s2.0-84879171640,S0047248413001140
0.024,0.904,0.073,0.9999,2-s2.0-85018745900,S0047248417301185
0.023,0.914,0.063,0.9998,2-s2.0-74449087845,S0047248409001973
0.026,0.917,0.056,0.9989,2-s2.0-2442652488,S0047248404000417
0.069,0.838,0.093,0.998,2-s2.0-0016349589,47248474900049
0.029,0.902,0.069,0.9995,2-s2.0-84940451821,S0047248415001621
0.0,0.893,0.107,0.9928,2-s2.0-0028250230,S0047248484710244
0.035,0.868,0.097,0.9994,2-s2.0-49649138231,47248472900401
0.031,0.89,0.079,0.9999,2-s2.0-85042755020,S0047248417304554
0.064,0.87,0.066,-0.9048,2-s2.0-0019177451,47248480900548
0.03,0.882,0.088,0.9998,2-s2.0-42649102701,S0047248407002059
0.014,0.918,0.068,0.9999,2-s2.0-85083299452,S0047248420300452
0.022,0.869,0.109,0.9985,2-s2.0-0021238993,S0047248484800743
0.033,0.912,0.055,0.9994,2-s2.0-85106278272,S0047248421000506
0.035,0.889,0.076,0.9991,2-s2.0-0026304138,004724849190032Q
0.019,0.899,0.081,0.9944,2-s2.0-0018249568,S0047248478800633
0.022,0.842,0.135,0.9988,2-s2.0-33748893816,S0047248406000923
0.016,0.883,0.1,1.0,2-s2.0-84964992771,S0047248416000506
0.015,0.88,0.106,0.9999,2-s2.0-0001976961,004724849290045B
0.023,0.896,0.081,0.9999,2-s2.0-29244473124,S0047248405001491
0.013,0.891,0.096,1.0,2-s2.0-84896717450,S0047248414000062
0.023,0.926,0.051,0.9997,2-s2.0-85092242819,S0047248420301469
0.042,0.873,0.086,1.0,2-s2.0-0001352063,S0047248486800732
0.027,0.918,0.055,0.9995,2-s2.0-24644452081,S0047248405000916
0.01,0.926,0.065,0.9991,2-s2.0-58149367860,S0047248483800359
0.024,0.89,0.087,0.9999,2-s2.0-55949137143,S0047248408001188
0.023,0.907,0.07,0.9999,2-s2.0-85032962564,S0047248417302300
0.055,0.848,0.097,0.9997,2-s2.0-84964507814,S004724841600049X
0.023,0.912,0.065,0.9998,2-s2.0-84858071962,S004724841200005X
0.046,0.909,0.045,0.7444,2-s2.0-84960325966,S0047248416000269
0.032,0.898,0.07,0.9985,2-s2.0-0000747153,S0047248481800152
0.038,0.903,0.059,0.9997,2-s2.0-85042281048,S0047248417302750
0.024,0.912,0.064,0.9999,2-s2.0-85071716244,S0047248418302392
0.023,0.922,0.055,0.9999,2-s2.0-85105873648,S004724842100049X
0.052,0.863,0.084,0.9602,2-s2.0-58149367619,S0047248485800087
0.026,0.904,0.07,0.9997,2-s2.0-85029227427,S0047248417302245
0.026,0.877,0.097,0.9998,2-s2.0-0023547069,47248487900017
0.004,0.94,0.057,0.9829,2-s2.0-0032060612,S0047248498902172
0.044,0.903,0.053,0.7184,2-s2.0-0027714286,S0047248483710432
0.013,0.913,0.074,0.9999,2-s2.0-85018976464,S004724841730129X
0.046,0.87,0.083,0.9916,2-s2.0-0022468340,S0047248486800677
0.0,0.929,0.071,0.9868,2-s2.0-0033136263,S0047248498902871
0.052,0.874,0.075,0.998,2-s2.0-0021256115,S0047248484800755
0.055,0.885,0.06,0.9882,2-s2.0-38349108162,S004724840700156X
0.033,0.881,0.086,0.9988,2-s2.0-85082525062,S0047248420300014
0.022,0.868,0.11,0.9986,2-s2.0-0021752401,S0047248484800305
0.047,0.898,0.056,0.9975,2-s2.0-80052264842,S0047248411001424
0.046,0.9,0.053,0.9955,2-s2.0-84864535562,S0047248411001977
0.046,0.897,0.057,0.8625,2-s2.0-0015841707,47248473900146
0.021,0.894,0.085,1.0,2-s2.0-85047207439,S0047248417304542
