"timebin"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"
"1972-1976"	"0.026"	"0.02575"	"0.0351027027027027"	"0.0334"	"0.0326428571428571"	"NaN"	"0.0272"	"0.0291666666666667"	"0.0363333333333333"	"0.0482702702702703"
"1977-1981"	"0.0305714285714286"	"0.0342222222222222"	"0.0343050847457627"	"0.0289"	"0.0277272727272727"	"0.0345"	"0.0303333333333333"	"0.0312857142857143"	"0.0440769230769231"	"0.0487333333333333"
"1982-1986"	"0.0375714285714286"	"0.0299285714285714"	"0.0399461077844311"	"0.0356842105263158"	"0.0273846153846154"	"0.0305"	"0.0480625"	"0.0293"	"0.0371666666666667"	"0.0444032258064516"
"1987-1991"	"0.0242857142857143"	"0.0311707317073171"	"0.0408518518518519"	"0.033375"	"0.0286666666666667"	"0.0228333333333333"	"0.0457741935483871"	"0.0298510638297872"	"0.0389166666666667"	"0.0431428571428571"
"1992-1996"	"0.0122162162162162"	"0.0194603174603175"	"0.018125"	"0.024125"	"0.0210555555555556"	"0.0266451612903226"	"0.0363529411764706"	"0.0146944444444444"	"0.0166666666666667"	"0.0240909090909091"
"1997-2001"	"0.016406976744186"	"0.0121521739130435"	"0.0176315789473684"	"0.0211304347826087"	"0.0112777777777778"	"0.0193913043478261"	"0.0285918367346939"	"0.0111351351351351"	"0.0156666666666667"	"0.0278823529411765"
"2002-2006"	"0.0227777777777778"	"0.0196315789473684"	"0.0295"	"0.0298541666666667"	"0.0271612903225806"	"0.02515"	"0.03484375"	"0.0217894736842105"	"0.0351212121212121"	"0.0416086956521739"
"2007-2011"	"0.0282456140350877"	"0.0254805194805195"	"0.0351333333333333"	"0.0296222222222222"	"0.03109375"	"0.0301830985915493"	"0.0362705882352941"	"0.0253272727272727"	"0.0332758620689655"	"0.0415428571428571"
"2012-2016"	"0.0243673469387755"	"0.028175"	"0.0336923076923077"	"0.0296603773584906"	"0.0308965517241379"	"0.0288552631578947"	"0.0364259259259259"	"0.021271186440678"	"0.0276326530612245"	"0.0325833333333333"
"2017-2021"	"0.0257209302325581"	"0.0225"	"0.0492"	"0.0281935483870968"	"0.0283888888888889"	"0.0289375"	"0.0294285714285714"	"0.0217321428571429"	"0.0282115384615385"	"0.038475"
