"timebin"	"Topic0"	"Topic1"	"Topic2"	"Topic3"	"Topic4"	"Topic5"	"Topic6"	"Topic7"	"Topic8"	"Topic9"
"1972-1976"	"0.9148"	"0.9095"	"0.887502702702703"	"0.8696"	"0.882928571428571"	"NaN"	"0.9136"	"0.895166666666667"	"0.890833333333333"	"0.864351351351351"
"1977-1981"	"0.895"	"0.898944444444444"	"0.884766949152542"	"0.8937"	"0.898"	"0.877"	"0.913333333333333"	"0.901928571428571"	"0.888076923076923"	"0.8587"
"1982-1986"	"0.888285714285714"	"0.906857142857143"	"0.873658682634731"	"0.877894736842105"	"0.900076923076923"	"0.89475"	"0.8925625"	"0.8883"	"0.9035"	"0.862967741935484"
"1987-1991"	"0.909"	"0.905707317073171"	"0.872592592592593"	"0.8885625"	"0.893238095238095"	"0.894833333333333"	"0.894193548387097"	"0.898276595744681"	"0.895083333333333"	"0.872761904761905"
"1992-1996"	"0.916378378378378"	"0.908238095238095"	"0.9023125"	"0.872375"	"0.898388888888889"	"0.881935483870968"	"0.888411764705882"	"0.904638888888889"	"0.906888888888889"	"0.880545454545455"
"1997-2001"	"0.936209302325581"	"0.941608695652174"	"0.911631578947368"	"0.913086956521739"	"0.935888888888889"	"0.924260869565217"	"0.92965306122449"	"0.937243243243243"	"0.908866666666667"	"0.891705882352941"
"2002-2006"	"0.922814814814815"	"0.925649122807018"	"0.886555555555556"	"0.881666666666667"	"0.911290322580645"	"0.891083333333333"	"0.8964375"	"0.898815789473684"	"0.891242424242424"	"0.860086956521739"
"2007-2011"	"0.898719298245614"	"0.904246753246753"	"0.880333333333333"	"0.871955555555556"	"0.8906875"	"0.887830985915493"	"0.8969"	"0.899745454545455"	"0.896534482758621"	"0.861057142857143"
"2012-2016"	"0.905877551020408"	"0.899475"	"0.886230769230769"	"0.879830188679245"	"0.89751724137931"	"0.888342105263158"	"0.896345679012346"	"0.900423728813559"	"0.907959183673469"	"0.8706875"
"2017-2021"	"0.908372093023256"	"0.909960526315789"	"0.8714"	"0.887193548387097"	"0.900138888888889"	"0.891729166666667"	"0.904885714285714"	"0.898910714285714"	"0.909961538461538"	"0.86595"
